"Name","PantherID","Department","Email","Phone"
Parag Tamhankar,123456780,Computer Science,ptamhankar@gsu.edu,9988774456
Mary Johnson,234567892,Psychology,mjohnson@gsu.edu,4045550202
Michael Williams,345678900,Computer Science,mwilliams@gsu.edu,4045550303
Jennifer Brown,456789913,Economics,jbrown@gsu.edu,4045550404
David Davis,567890124,History,ddavis@gsu.edu,4045550505
Sarah Rodriguez,678901135,Mathematics,srodriguez@gsu.edu,4045550606
Robert Martinez,789012336,English,rmartinez@gsu.edu,4045550707
Lisa Wilson,890123555,Sociology,lwilson@gsu.edu,4045550808
Daniel Lee,901234468,Political Science,dlee@gsu.edu,4045550909
Karen Taylor,123456779,Chemistry,ktaylor@gsu.edu,4045551010
Christopher Moore,234527890,Physics,cmoore@gsu.edu,4045551111
Amanda White,344678901,Communication,awhite@gsu.edu,4045551212
Jason Harris,456789092,Criminal Justice,jharris@gsu.edu,4045551313
Laura Clark,567890103,Public Health,lclark@gsu.edu,4045551414
Mark Young,678901232,Art,myoung@gsu.edu,4045551515
Rachel Allen,789012305,Music,rallen@gsu.edu,4045551616
Kevin King,890123455,Education,kking@gsu.edu,4045551717
Patricia Scott,901234557,Management,pscott@gsu.edu,4045551818
Steven Green,123456178,Philosophy,sgreen@gsu.edu,4045551919
Elizabeth Hall,234567891,Public Policy,ehall@gsu.edu,4045552020
William Brown,345678902,Nursing,wbrown@gsu.edu,4045552121
Michelle Turner,456789013,Social Work,mturner@gsu.edu,4045552222
Jonathan Evans,567890114,Geosciences,jevans@gsu.edu,4045552323
Emily Baker,678901235,Urban Studies,ebaker@gsu.edu,4045552424
Nathan White,789012346,Linguistics,nwhite@gsu.edu,4045552525
Samantha Carter,890123457,Journalism,scarter@gsu.edu,4045552626
Benjamin Morris,901234568,Theater,bmorris@gsu.edu,4045552727
Heather Murphy,113456768,Anthropology,hmurphy@gsu.edu,4045552828
Andrew Nelson,123446789,Economics,anelson@gsu.edu,4045552929
Jessica Wright,234557890,History,jwright@gsu.edu,4045553030
Timothy King,335678901,Computer Science,tking@gsu.edu,4045553131
Rachel Allen,452789012,Psychology,rallen@gsu.edu,4045553232
Amanda Johnson,562890123,Biology,ajohnson@gsu.edu,4045553333
William Davis,678301234,Chemistry,wdavis@gsu.edu,4045553434
Laura Martinez,709012345,Mathematics,lmartinez@gsu.edu,4045553535
Daniel Clark,890123556,English,dclark@gsu.edu,4045553636
Kimberly Rodriguez,901234567,Sociology,krodriguez@gsu.edu,4045553737
Ryan Taylor,812345678,Political Science,rtaylor@gsu.edu,4045553838
Jennifer Allen,123456789,Physics,jallen@gsu.edu,4045553939
Justin Scott,234567890,Communication,jscott@gsu.edu,4045554040
Stephanie King,345678901,Criminal Justice,sking@gsu.edu,4045554141
Lauren White,456789012,Public Health,lwhite@gsu.edu,4045554242
David Brown,567890123,Art,dbrown@gsu.edu,4045554343
Melissa Turner,678901234,Music,mturner@gsu.edu,4045554444
Nicole Evans,789012345,Education,nevans@gsu.edu,4045554545
Matthew Baker,890123456,Management,mbaker@gsu.edu,4045554646
John Smith,123456780,Biology,jsmith@gsu.edu,4045550101
