"Name","PantherID","Degree","Major","Email","Phone"
Eleanor Chang,987654321,Bachelor of Science,Computer Engineering,eleanorchang@student.gsu.edu,4045550101
Mateo Vasquez,876543219,Bachelor of Arts,Sociology,mateovasquez@student.gsu.edu,4045550202
Nina Patel,765432198,Bachelor of Business Administration,Management,ninapatel@student.gsu.edu,4045550303
Malik Khan,654321987,Bachelor of Arts,Political Science,malikkhan@student.gsu.edu,4045550404
Sofia Santos,543010987,Bachelor of Science,Biomedical Sciences,sofiasantos@student.gsu.edu,4045550505
Lucas Nguyen,442109876,Bachelor of Arts,Economics,lucasnguyen@student.gsu.edu,4045550606
Leila Rivera,321987654,Bachelor of Science,Chemical Engineering,leilarivera@student.gsu.edu,4045550707
Aiden Patel,219876543,Bachelor of Business Administration,Finance,aidenpatel@student.gsu.edu,4045550808
Cassandra Kim,198765432,Bachelor of Science,Psychology,cassandrakim@student.gsu.edu,4045550909
Omar Ali,878543210,Bachelor of Arts,History,omarali@student.gsu.edu,4045551010
Zara Khan,775432109,Bachelor of Science,Biology,zarakhan@student.gsu.edu,4045551111
Isaac Lee,654421098,Bachelor of Arts,English,isaaclee@student.gsu.edu,4045551212
Ella Martinez,543210907,Bachelor of Business Administration,Marketing,ellamartinez@student.gsu.edu,4045551313
Hugo Garcia,432109876,Bachelor of Science,Physics,hugogarcia@student.gsu.edu,4045551414
Ariana Lopez,321098765,Bachelor of Arts,Communications,arianalopez@student.gsu.edu,4045551515
Leo Kim,997654321,Bachelor of Science,Mathematics,leokim@student.gsu.edu,4045551616
Nora Smith,876543210,Bachelor of Arts,Anthropology,norasmith@student.gsu.edu,4045551717
Dante Rodriguez,765432109,Bachelor of Science,Environmental Science,danterodriguez@student.gsu.edu,4045551818
Maya Khan,654321098,Bachelor of Arts,International Studies,mayakhan@student.gsu.edu,4045551919
Oliver Hernandez,523210987,Bachelor of Business Administration,Supply Chain Management,oliverhernandez@student.gsu.edu,4045552020
Manish Kolla,123456789,Bachelor of Science,Computer Science,mkolla1@student.gsu.edu,14706479715
Manish Kolla,123456789,Bachelor of Science,Computer Science,mkolla1@student.gsu.edu,14706479715
Manish Kolla,2631528,Bachelors of Science,Computer Science,mkolla1@gsu.edu,4706479715
